iter	Passed	Remaining
401	18754	27898
402	18790	27835
403	18825	27772
404	18860	27708
405	18895	27645
406	18940	27596
407	18993	27559
408	19049	27526
409	19096	27480
410	19131	27417
411	19173	27363
412	19208	27301
413	19243	27238
414	19279	27176
415	19312	27111
416	19347	27049
417	19388	26995
418	19440	26957
419	19485	26908
420	19526	26855
421	19574	26809
422	19628	26774
423	19674	26727
424	19721	26682
425	19761	26626
426	19802	26573
427	19844	26521
428	19890	26474
429	19931	26420
430	19975	26371
431	20015	26316
432	20059	26266
433	20119	26239
434	20179	26210
435	20243	26187
436	20303	26158
437	20343	26102
438	20378	26041
439	20415	25983
440	20453	25926
441	20497	25876
442	20532	25816
443	20567	25755
444	20610	25705
445	20651	25651
446	20690	25597
447	20742	25557
448	20792	25516
449	20830	25460
450	20867	25401
451	20909	25349
452	20960	25309
453	20998	25254
454	21034	25195
455	21070	25136
456	21105	25076
457	21141	25019
458	21182	24967
459	21220	24910
460	21272	24871
461	21323	24830
462	21382	24800
463	21448	24776
464	21501	24737
465	21554	24699
466	21594	24646
467	21644	24604
468	21714	24584
469	21771	24550
470	21831	24520
471	21889	24486
472	21942	24447
473	21988	24400
474	22027	24346
475	22066	24291
476	22105	24237
477	22147	24186
478	22199	24145
479	22239	24092
480	22276	24036
481	22319	23986
482	22359	23933
483	22419	23901
484	22535	23929
485	22599	23901
486	22672	23882
487	22732	23850
488	22795	23821
489	22835	23767
490	22884	23722
491	22926	23671
492	22962	23614
493	23003	23562
494	23047	23513
495	23088	23460
496	23133	23413
497	23199	23385
498	23238	23331
499	23276	23276
500	23313	23220
501	23353	23167
502	23394	23115
503	23433	23061
504	23476	23011
505	23513	22956
506	23552	22901
507	23587	22844
508	23628	22792
509	23676	22748
510	23753	22730
511	23820	22703
512	23881	22671
513	23926	22623
514	23965	22569
515	24003	22514
516	24036	22455
517	24070	22397
518	24111	22345
519	24147	22289
520	24183	22233
521	24218	22176
522	24255	22122
523	24289	22064
524	24330	22013
525	24365	21956
526	24400	21900
527	24442	21849
528	24478	21794
529	24512	21737
530	24554	21687
531	24601	21641
532	24656	21603
533	24712	21565
534	24751	21513
535	24798	21467
536	24867	21441
537	24972	21444
538	25033	21410
539	25075	21360
540	25114	21308
541	25167	21267
542	25211	21218
543	25252	21167
544	25298	21120
545	25341	21071
546	25376	21015
547	25413	20961
548	25449	20906
549	25492	20857
550	25537	20809
551	25578	20759
552	25617	20706
553	25655	20653
554	25697	20604
555	25736	20552
556	25771	20497
557	25807	20442
558	25846	20390
559	25888	20341
560	25931	20291
561	25969	20239
562	26025	20200
563	26083	20164
564	26147	20131
565	26198	20088
566	26238	20037
567	26286	19992
568	26321	19938
569	26357	19883
570	26400	19835
571	26442	19785
572	26485	19737
573	26526	19686
574	26573	19641
575	26621	19596
576	26664	19547
577	26701	19494
578	26736	19440
579	26770	19385
580	26805	19331
581	26847	19282
582	26881	19227
583	26921	19177
584	26958	19124
585	26996	19072
586	27074	19048
587	27137	19014
588	27206	18984
589	27261	18944
590	27322	18908
591	27363	18858
592	27417	18817
593	27452	18763
594	27490	18712
595	27527	18659
596	27571	18611
597	27610	18560
598	27648	18509
599	27686	18457
600	27720	18403
601	27755	18349
602	27797	18301
603	27833	18248
604	27868	18195
605	27904	18142
606	27940	18090
607	27976	18037
608	28020	17990
609	28056	17937
610	28094	17886
611	28130	17834
612	28166	17781
613	28202	17729
614	28237	17676
615	28280	17629
616	28322	17581
617	28371	17536
618	28422	17494
619	28475	17452
620	28543	17420
621	28578	17367
622	28612	17314
623	28647	17262
624	28684	17210
625	28720	17158
626	28764	17111
627	28798	17058
628	28832	17006
629	28866	16953
630	28899	16900
631	28934	16847
632	28970	16796
633	29010	16747
634	29045	16695
635	29078	16642
636	29114	16590
637	29149	16539
638	29194	16493
639	29230	16442
640	29264	16389
641	29299	16338
642	29334	16286
643	29369	16235
644	29405	16184
645	29448	16137
646	29492	16090
647	29541	16047
648	29590	16003
649	29641	15960
650	29683	15913
651	29719	15862
652	29755	15811
653	29788	15759
654	29823	15708
655	29856	15656
656	29891	15605
657	29936	15559
658	29972	15509
659	30008	15458
660	30043	15408
661	30082	15359
662	30117	15308
663	30153	15258
664	30193	15210
665	30228	15159
666	30263	15108
667	30298	15058
668	30334	15008
669	30374	14960
670	30412	14911
671	30447	14861
672	30485	14812
673	30522	14763
674	30558	14713
675	30601	14667
