iter	Logloss
0	0.6164457522
1	0.559444619
2	0.5133957881
3	0.4773867447
4	0.4475953851
5	0.4258708159
6	0.4086012479
7	0.3946891021
8	0.3833392721
9	0.3736950915
10	0.3654360131
11	0.3585255429
12	0.3531918023
13	0.3489714358
14	0.3458062105
15	0.343244835
16	0.3403732683
17	0.3381740925
18	0.3362255511
19	0.3343886016
20	0.332753898
21	0.3314150491
22	0.3303845561
23	0.3292937442
24	0.3283503554
25	0.3276417151
26	0.327130312
27	0.3264227535
28	0.3258857143
29	0.3254138052
30	0.3250300743
31	0.3245917614
32	0.3243007455
33	0.3239681584
34	0.3236598835
35	0.3234030172
36	0.3231733904
37	0.3229181511
38	0.3227000166
39	0.322525657
40	0.3223271019
41	0.3221684388
42	0.3220303389
43	0.3219059459
44	0.3217425413
45	0.3215895111
46	0.3214668759
47	0.3213124102
48	0.3211834017
49	0.3210703357
50	0.3209551558
51	0.3208708696
52	0.3207931801
53	0.3207020156
54	0.3206246131
55	0.3204946062
56	0.3203989348
57	0.3202127597
58	0.3201317077
59	0.3200437783
60	0.3199931092
61	0.3198793858
62	0.3198031316
63	0.3196929086
64	0.3196044785
65	0.319519859
66	0.3194680007
67	0.3193693676
68	0.3193261072
69	0.3192702343
70	0.3192043927
71	0.3191571141
72	0.3191059279
73	0.3190495605
74	0.3189861598
75	0.3189130813
76	0.3188603753
77	0.3187862151
78	0.3186926668
79	0.3186314119
80	0.3185637812
81	0.3184957163
82	0.3184428612
83	0.3183517753
84	0.3182693503
85	0.3182299434
86	0.3181668111
87	0.3181301065
88	0.3180727662
89	0.3180204981
90	0.3179518623
91	0.3179138231
92	0.3178624947
93	0.3177985577
94	0.317750019
95	0.3177047928
96	0.3176684864
97	0.3176103535
98	0.3175640697
99	0.3175226517
100	0.3174712158
101	0.3174149129
102	0.3173905325
103	0.3173230074
104	0.3172846251
105	0.3172569311
106	0.31722017
107	0.3171533688
108	0.3171154192
109	0.3170647334
110	0.317018441
111	0.3169588016
112	0.3169323103
113	0.3168886365
114	0.316857741
115	0.3168146682
116	0.316766011
117	0.3167380296
118	0.3167023375
119	0.3166348648
120	0.3165815481
121	0.3165498498
122	0.3164814652
123	0.316453493
124	0.3164146028
125	0.3163536101
126	0.3163022611
127	0.3162560998
128	0.3162110602
129	0.3161767569
130	0.3161338598
131	0.3160991303
132	0.3160396562
133	0.3159853957
134	0.3159318849
135	0.315881939
136	0.3158511939
137	0.3158109786
138	0.3157759057
139	0.3157223289
140	0.3156856593
141	0.3156489496
142	0.3155948274
143	0.3155509854
144	0.3155106186
145	0.3154766707
146	0.3154317735
147	0.3153802803
148	0.3153373864
149	0.3152975357
150	0.3152543246
151	0.315221424
152	0.315177614
153	0.3151401767
154	0.3150970354
155	0.3150584232
156	0.3150185198
157	0.31498001
158	0.3149470102
159	0.3149045415
160	0.3148597793
161	0.3148223453
162	0.3147790934
163	0.3147445846
164	0.3146971588
165	0.3146516536
166	0.3146121999
167	0.31457609
168	0.31453494
169	0.3144914377
170	0.3144558745
171	0.3143998589
172	0.3143555679
173	0.314309287
174	0.3142679174
175	0.3142343284
176	0.3141996893
177	0.3141588096
178	0.3141106013
179	0.3140853642
180	0.3140385358
181	0.3139838291
182	0.3139493326
183	0.3139069563
184	0.3138636938
185	0.3138170057
186	0.3137748299
187	0.3137251122
188	0.313688245
189	0.3136434843
190	0.3136076018
191	0.3135698833
192	0.3135303508
193	0.3134815497
194	0.313438111
195	0.3133882261
196	0.3133427331
197	0.3133107795
198	0.3132562671
199	0.3132229424
200	0.3131857617
201	0.313140902
202	0.313111578
203	0.3130667345
204	0.3130341003
205	0.3129922978
206	0.3129561351
207	0.3129129485
208	0.3128661197
209	0.3128248163
210	0.3127895406
211	0.3127520483
212	0.3127147092
213	0.312666645
214	0.312635631
215	0.3126065305
216	0.3125720302
217	0.3125383664
218	0.3125054583
219	0.312467574
220	0.3124316082
221	0.3123932151
222	0.3123678097
223	0.3123158793
224	0.3122784631
225	0.3122417371
226	0.3121909666
227	0.3121566097
228	0.3121090035
229	0.312076671
230	0.3120497459
231	0.312002003
232	0.3119677792
233	0.3119411901
234	0.3119009408
235	0.3118715704
236	0.3118333384
237	0.3117937527
238	0.3117617496
239	0.3117291842
240	0.311705998
241	0.3116710929
242	0.3116365237
243	0.3116089253
244	0.3115771655
245	0.3115397961
246	0.3115198699
247	0.311475872
248	0.311452316
249	0.3114110887
250	0.3113793834
251	0.3113426956
252	0.3113091746
253	0.311275637
254	0.3112412936
255	0.3112103902
256	0.31118207
257	0.3111435701
258	0.3111048677
259	0.31107482
260	0.3110455861
261	0.311015689
262	0.3109893872
263	0.3109601309
264	0.3109292786
265	0.3109060999
266	0.3108713258
267	0.310833302
268	0.3108002226
269	0.310761026
270	0.3107270444
271	0.3106754521
272	0.3106363267
273	0.3106024955
274	0.3105764634
275	0.310544836
276	0.3105053881
277	0.3104674301
278	0.3104323977
279	0.3104008548
280	0.3103691441
281	0.3103321248
282	0.3103080114
283	0.3102748414
284	0.3102369761
285	0.3102028352
286	0.310168835
287	0.3101354711
288	0.3101077957
289	0.3100824572
290	0.3100573987
291	0.31001629
292	0.3099732147
293	0.3099369327
294	0.30991044
295	0.3098847182
296	0.3098540186
297	0.3098194053
298	0.309785234
299	0.3097516107
300	0.3097127817
301	0.3096743766
302	0.3096424809
303	0.3096205968
304	0.3095912816
305	0.3095531222
306	0.3095246632
307	0.3094760321
308	0.3094487478
309	0.3094193733
310	0.3093851831
311	0.3093395785
312	0.3093162832
313	0.3092856466
314	0.309262524
315	0.3092183378
316	0.3091928336
317	0.3091725707
318	0.3091406695
319	0.3091069577
320	0.3090697534
321	0.3090303954
322	0.3090059863
323	0.3089812512
324	0.308955089
325	0.3089280703
326	0.3088954908
327	0.3088699899
328	0.3088295234
329	0.308812337
330	0.3087916153
331	0.308755987
332	0.3087156498
333	0.3086907005
334	0.3086540167
335	0.3086175506
336	0.3085864884
337	0.3085520985
338	0.308518848
339	0.308496182
340	0.3084688458
341	0.3084217592
342	0.3083945691
343	0.3083621041
344	0.3083366472
345	0.3083075813
346	0.3082741547
347	0.3082401479
348	0.3082059247
349	0.3081654428
350	0.3081209133
351	0.3080919468
352	0.308074667
353	0.3080512191
354	0.3080215528
355	0.3079934842
356	0.3079645638
357	0.3079197741
358	0.3078884264
359	0.3078529429
360	0.3078199645
361	0.3077865542
362	0.3077564774
363	0.3077221137
364	0.3076887475
365	0.3076617585
366	0.3076374469
367	0.3076196621
368	0.3075995081
369	0.3075719336
370	0.3075524026
371	0.3075088206
372	0.3074898015
373	0.3074450963
374	0.3074240195
375	0.3073900948
376	0.3073531202
377	0.3073260244
378	0.307288327
379	0.3072616836
380	0.3072367523
381	0.307198823
382	0.3071588556
383	0.3071247407
384	0.3070965184
385	0.3070649996
386	0.3070296633
387	0.3069941241
388	0.3069661565
389	0.3069453434
390	0.3069197286
391	0.3068818375
392	0.3068608723
393	0.3068367166
394	0.3067980843
395	0.3067730948
396	0.3067398217
397	0.3067189217
398	0.3066847714
399	0.3066508997
400	0.3066324369
401	0.3066018007
402	0.3065887808
403	0.3065565896
404	0.306518553
405	0.3064953854
406	0.3064623886
407	0.3064403292
408	0.3064033448
409	0.3063752399
410	0.3063528462
411	0.306322117
412	0.3062854639
413	0.3062544086
414	0.3062191612
415	0.3061917105
416	0.3061674607
417	0.3061407732
418	0.3061071023
419	0.3060785982
420	0.3060448052
421	0.3060190653
422	0.3059959236
423	0.3059696475
424	0.3059302411
425	0.305908702
426	0.305880894
427	0.3058510134
428	0.3058228678
429	0.3057880004
430	0.3057658473
431	0.3057367792
432	0.3057107955
433	0.3056749805
434	0.3056520962
435	0.3056189829
436	0.3056000275
437	0.3055814468
438	0.3055522744
439	0.3055254468
440	0.3055023173
441	0.3054681895
442	0.3054506855
443	0.3054300681
444	0.305397995
445	0.305372977
446	0.3053418451
447	0.3053164497
448	0.3052874231
449	0.3052529631
450	0.3052222108
451	0.3051855556
452	0.3051526617
453	0.3051307083
454	0.3051009315
455	0.3050658795
456	0.3050431132
457	0.3050075872
458	0.3049846117
459	0.304951998
460	0.3049384413
461	0.30491404
462	0.3048819837
463	0.30486
464	0.3048335828
465	0.3048030488
466	0.3047703667
467	0.3047418593
468	0.3047187502
469	0.3046941256
470	0.3046656974
471	0.3046320096
472	0.304593726
473	0.3045651012
474	0.3045408968
475	0.3045145929
476	0.3044921285
477	0.3044575051
478	0.3044316995
479	0.3044004566
480	0.3043775357
481	0.3043442168
482	0.3043137179
483	0.3042854305
484	0.3042600569
485	0.3042137532
486	0.3042009748
487	0.3041693982
488	0.3041404155
489	0.3041143507
490	0.3040841298
491	0.3040705697
492	0.3040501328
493	0.3040225479
494	0.3039898118
495	0.3039605286
496	0.3039389044
497	0.3039210566
498	0.3038962016
