iter	Logloss
0	0.6164553711
1	0.5594505795
2	0.5134021374
3	0.4773907967
4	0.4475997699
5	0.425873942
6	0.408605759
7	0.3946889065
8	0.383336055
9	0.373693161
10	0.3654384852
11	0.3585243345
12	0.353187256
13	0.3489727148
14	0.3458036776
15	0.3431761915
16	0.340094008
17	0.3379054791
18	0.3361524577
19	0.3341489766
20	0.3325327366
21	0.3313489986
22	0.3303121985
23	0.3292878589
24	0.3287184415
25	0.3278424296
26	0.3273340319
27	0.3265892775
28	0.3261163231
29	0.325695014
30	0.3251692494
31	0.324756412
32	0.3244904149
33	0.3241622133
34	0.3238926835
35	0.3236980262
36	0.3234347691
37	0.3231365559
38	0.3228221807
39	0.3226379893
40	0.322411691
41	0.3222395015
42	0.321996375
43	0.3218380807
44	0.3216660765
45	0.3215318723
46	0.3214030237
47	0.3212835236
48	0.3211524098
49	0.3210372593
50	0.3208531395
51	0.3207718988
52	0.3206705199
53	0.320561465
54	0.3204385448
55	0.3203660979
56	0.3203093785
57	0.320164343
58	0.3200767184
59	0.319997405
60	0.3199117731
61	0.3198379772
62	0.3197886439
63	0.3196597961
64	0.3195830614
65	0.3195073306
66	0.3194449132
67	0.3193468114
68	0.319295876
69	0.3192436462
70	0.3191691682
71	0.3191189361
72	0.3190560503
73	0.3189974483
74	0.3189196902
75	0.3188689814
76	0.3188067916
77	0.3187534149
78	0.3186810589
79	0.3186079567
80	0.3185477112
81	0.3184992984
82	0.3184356832
83	0.3184028097
84	0.3183319953
85	0.3182710862
86	0.3182247366
87	0.3181607512
88	0.3181202973
89	0.3180766824
90	0.3180190499
91	0.3179902212
92	0.3179330859
93	0.3178884831
94	0.317848218
95	0.3178085029
96	0.3177327101
97	0.3176859017
98	0.3176290518
99	0.317586557
100	0.3175500137
101	0.3175088911
102	0.317464487
103	0.3174111869
104	0.3173693921
105	0.3173251319
106	0.3172965416
107	0.317249535
108	0.3172151114
109	0.3171718547
110	0.3171213229
111	0.317087554
112	0.3170292443
113	0.3169690503
114	0.3169294
115	0.3169020648
116	0.3168485951
117	0.3168140809
118	0.3167806045
119	0.3167414633
120	0.3166874962
121	0.3166507262
122	0.3166104737
123	0.3165764104
124	0.3165440202
125	0.3165088989
126	0.316470178
127	0.316435792
